nps_score	checkin_date	checkout_date	created_at	source	order_id	hotel_name	pod_type	nps_review
9	2023-05-21 23:00:00	2023-05-22 23:00:00	2023-05-23 3:28:21	iOS	10231682103779397	Bobocabin Kintamani 	Deluxe Cabin	untuk pengalamab menginap cukup seru krna bisa buat api unggun, bbq, viewnya oke dan ada communal area untuk saran, coba di area kitchen ada sabun buat cuci tangan juga peralatan makan sperti sendok garpu piring bakal lebih memudahkan lagi sama kebetulan kamar nginap lampunya rusak tapi selebihnya semua oke
10	2023-05-21 23:00:00	2023-05-22 23:00:00	2023-05-23 3:28:06	iOS	10231684715841305	Bobocabin Kintamani 	Deluxe Cabin	Tempatnya nyaman, kamar bersih dan wangi. staf ramah. Pemandangan sangat indah. 
10	2023-05-22 0:00:00	2023-05-23 0:00:00	2023-05-23 3:27:28	Android	10231683974572379	Bobocabin Kintamani 	DELUXE CABIN	Nice vibes, simple, clean and comfortable room. Really nice staff
10	2023-05-22 0:00:00	2023-05-23 0:00:00	2023-05-23 3:26:14	Android	10081684764067727	Bobobox Kota Tua	SKY DOUBLE	Tempatnya oke banget
10	2023-05-22 0:00:00	2023-05-23 0:00:00	2023-05-23 3:22:57	Android	10211684750935179	Bobobox Alun-Alun Malang	SKY DOUBLE	good
10	2023-05-22 0:00:00	2023-05-23 0:00:00	2023-05-23 3:16:36	Android	10021684737544842	Bobobox Cipaganti	SKY SINGLE	Bobobox disini parkiran luas , nyaman untuk parkir kendaraan All in cozy bersih rapi, kamar untuk mandi pria ada 2 , toilet 2 wastafel 2 dan 1 untuk buang air kecil, Ac dingin banget bisa diatur manual dengan cara memutar lubang angin di bagian atas dalam kamar pods, tetap dingin walaupun ac udah ditutup. Selimut kurang tebal, kasur keras, bantal sangat empuk. Kekurangan lain kamar tdk kedap suara
9	2023-05-22 0:00:00	2023-05-23 0:00:00	2023-05-23 3:15:58	Android	10031683981515465	Bobobox Dago	EARTH DOUBLE	cukup nyaman & worth it
9	2023-05-21 23:00:00	2023-05-22 23:00:00	2023-05-23 3:08:44	iOS	10231683446010594	Bobocabin Kintamani 	Deluxe Cabin	Bagus pemandangannya 
10	2023-05-22 0:00:00	2023-05-23 0:00:00	2023-05-23 2:35:11	Android	10171683638353171	Bobocabin Ranca Upas	STANDARD CABIN	Nyaman bgt ,service excelent, view ok.
10	2023-05-19 0:00:00	2023-05-20 0:00:00	2023-05-23 2:29:02	iOS	10171683473367922	Bobocabin Ranca Upas	Executive Cabin	Pengalaman menginap di bobocabin sangat memuaskan! Semua pegawainya sangat sigap dan informatif dari resepsionis, bell boy, security, pengantar makanan, pengantar api unggun dan cleaning service (mas Warlan yang sudah bantu foto2 saat kami disana). Thank you for the hospitality, definitely will come back again.
10	2023-05-15 0:00:00	2023-05-23 0:00:00	2023-05-23 2:23:22	iOS	10121684079336679	Bobobox Juanda Jakarta	Sky Single	Good
10	2023-05-21 23:00:00	2023-05-22 23:00:00	2023-05-23 2:18:10	iOS	10231684580484765	Bobocabin Kintamani 	Deluxe Cabin	Very good
10	2023-04-29 0:00:00	2023-04-30 0:00:00	2023-05-23 2:11:58	iOS	10091682685380108	Bobobox Kota Lama	Earth Double	Nyaman 
10	2023-04-29 0:00:00	2023-04-30 0:00:00	2023-05-23 1:55:34	iOS	10141682765314568	Bobobox Slamet Riyadi Solo	Sky Double	Lokasi berada di tengah kota dan bangunannya klasik juga. Akses mudah dan mau kemana mana gampamg banget. Hospitality dari resepsionisnya juga bagus banget. Mantap
7	2023-05-19 0:00:00	2023-05-23 0:00:00	2023-05-23 1:45:12	Android	10211683869649355	Bobobox Alun-Alun Malang	SKY DOUBLE	Everything was ok until the last day I was about to get early check out suddenly I've been locked inside my own pod (47) I tried to contact the receptionist but no one answer whatsoever. I look up bobobox phone Number in google, I called them and asked them to fix it cause I have train to catch. After they open my pod I was late, my train had already departure, I had to buy new ticket!!!!!!
9	2023-05-21 23:00:00	2023-05-22 23:00:00	2023-05-23 1:13:18	iOS	10231683346100580	Bobocabin Kintamani 	Deluxe Cabin	Oke
10	2023-05-12 0:00:00	2023-05-13 0:00:00	2023-05-22 22:53:42	iOS	10141683807696386	Bobobox Slamet Riyadi Solo	Sky Double	nice
10	2023-05-20 0:00:00	2023-05-22 0:00:00	2023-05-22 17:12:47	iOS	10331684551958578	Bobocabin Ubud	Deluxe Cabin	Would be better if we can order food/service in a better UI instead of chatting. For example, selecting from listing. And it would be great if bobocabin ubud has rice planting activity for guests.
